metabolites,r2_score,features_used
Alanine,-0.38389646573159175,"['Arginine', 'Aspartic acid', 'Glycine', 'Lysine']"
Arginine,0.8772471948169644,"['Alanine', 'Citrulline', 'Lysine']"
Aspartic acid,-2.2297154132845063,"['Alanine', 'Arginine', 'Lysine']"
Citrulline,0.9388639855664588,"['Alanine', 'Arginine', 'Lysine']"
Cysteine,0.7647629799688056,"['Alanine', 'Arginine', 'Lysine']"
Glutamic acid,-0.4100732196086043,"['Alanine', 'Arginine', 'Lysine']"
Glutamine,0.5452284783507002,"['Alanine', 'Arginine', 'Lysine']"
Glycine,-0.25028161098260715,"['Alanine', 'Arginine', 'Lysine']"
Histidine,0.3830006441568973,"['Alanine', 'Arginine', 'Lysine']"
Homoserine,0.640399499805665,"['Alanine', 'Arginine', 'Lysine']"
Isoleucine,0.016686661770052513,"['Alanine', 'Arginine', 'Lysine']"
Leucine,-2.4728177306998567,"['Alanine', 'Arginine', 'Lysine']"
Lysine,-4.415641200573148,"['Alanine', 'Arginine']"
Methionine,-0.5942078114656957,"['Alanine', 'Arginine', 'Lysine']"
Ornithine,0.22940841232910336,"['Alanine', 'Arginine', 'Lysine']"
Phenylalanine,-0.43126462617486694,"['Alanine', 'Arginine', 'Lysine']"
Proline,-0.11270723429163154,"['Alanine', 'Arginine', 'Lysine']"
Serine,0.6204841570784414,"['Alanine', 'Arginine', 'Lysine']"
Threonine,0.7320278012422609,"['Alanine', 'Arginine', 'Lysine']"
tryptophan,0.31459664909594875,"['Alanine', 'Arginine', 'Lysine']"
Tyrosine,-0.10548713039443514,"['Alanine', 'Arginine', 'Lysine']"
Valine,0.5758194838440874,"['Alanine', 'Arginine', 'Lysine']"
a-Tocopherol,0.8055008740837871,"['Glutathione reduced', 'Vanillic acid']"
Glutathione reduced,0.15042369025181734,['a-Tocopherol']
Vanillic acid,-0.2627403813234612,"['a-Tocopherol', 'Glutathione reduced']"
Arachidic acid,-0.14065764351531196,['Linoleic acid']
Linoleic acid,0.08597363308251993,['Arachidic acid']
Linolenic acid,0.16015900656864646,['Arachidic acid']
Palmitic acid,0.08826543793958008,['Arachidic acid']
Pentadecanoic acid,-0.06944667946358019,['Arachidic acid']
Stearic acid,0.08817432228170263,['Arachidic acid']
Adenine,0.08381648855392343,"['Adenosine', 'AMP', 'Cytosine', 'Thymine']"
Adenosine,0.8655918872111785,"['Adenine', 'AMP', 'Cytosine', 'Thymine']"
AMP,-1.048704742352867,"['Adenine', 'Cytosine', 'Thymine']"
Cytidine,0.42067983371008155,"['Adenine', 'AMP', 'Cytosine', 'Thymine']"
Cytosine,0.07897754071025909,"['Adenine', 'AMP', 'Thymine']"
Guanine,0.0852098785679486,"['Adenine', 'AMP', 'Cytosine', 'Thymine']"
Guanosine,0.8252538316719153,"['Adenine', 'AMP', 'Cytosine', 'Thymine']"
Inosine,0.9171204640775277,"['Adenine', 'AMP', 'Cytosine', 'Thymine']"
Thymine,-3.0410158124772204,"['Adenine', 'AMP', 'Cytosine']"
uracil,0.4858264030327214,"['Adenine', 'AMP', 'Cytosine', 'Thymine']"
Uridine,0.8073102937776027,"['Adenine', 'AMP', 'Cytosine', 'Thymine']"
Xanthine,-0.12305156857696398,"['Adenine', 'AMP', 'Cytosine', 'Thymine']"
benzoic acid,-0.23798260301085694,"['Caffeic acid', 'Citric acid', 'lactic acid']"
Caffeic acid,-0.6008310494495146,"['benzoic acid', 'Citric acid', 'lactic acid']"
Citric acid,0.6503474941414124,"['benzoic acid', 'Caffeic acid', 'lactic acid', 'malic acid']"
lactic acid,0.005387987350173873,"['benzoic acid', 'Caffeic acid', 'Citric acid']"
malic acid,0.6929027337274892,"['benzoic acid', 'Caffeic acid', 'Citric acid', 'lactic acid']"
p-coumaric acid,0.29334550138573057,"['benzoic acid', 'Caffeic acid', 'Citric acid', 'lactic acid']"
Pyruvic acid,-1.5988899723185903,"['benzoic acid', 'Caffeic acid', 'Citric acid', 'lactic acid']"
