metabolites,r2_score,features_used
Alanine,0.05514684061516717,"['Arginine', 'Aspartic acid', 'Glycine', 'Lysine']"
Arginine,0.9305302786960696,"['Alanine', 'Citrulline', 'Lysine']"
Aspartic acid,-2.3176454694234576,"['Alanine', 'Arginine', 'Lysine']"
Citrulline,0.923135328399778,"['Alanine', 'Arginine', 'Lysine']"
Cysteine,0.7307274767423206,"['Alanine', 'Arginine', 'Lysine']"
Glutamic acid,-0.07768943313693533,"['Alanine', 'Arginine', 'Lysine']"
Glutamine,0.48269566375381745,"['Alanine', 'Arginine', 'Lysine']"
Glycine,-1.5584806222224015,"['Alanine', 'Arginine', 'Lysine']"
Histidine,0.34095754704729586,"['Alanine', 'Arginine', 'Lysine']"
Homoserine,0.6045532700388875,"['Alanine', 'Arginine', 'Lysine']"
Isoleucine,-0.15532067036647224,"['Alanine', 'Arginine', 'Lysine']"
Leucine,-2.3927813613910893,"['Alanine', 'Arginine', 'Lysine']"
Lysine,-2.80388924981896,"['Alanine', 'Arginine']"
Methionine,-0.41978741663164465,"['Alanine', 'Arginine', 'Lysine']"
Ornithine,-0.8549242364884355,"['Alanine', 'Arginine', 'Lysine']"
Phenylalanine,-0.32314677908325984,"['Alanine', 'Arginine', 'Lysine']"
Proline,0.16272741117311063,"['Alanine', 'Arginine', 'Lysine']"
Serine,0.6010412631139606,"['Alanine', 'Arginine', 'Lysine']"
Threonine,0.6138342889904711,"['Alanine', 'Arginine', 'Lysine']"
tryptophan,0.2821113337726918,"['Alanine', 'Arginine', 'Lysine']"
Tyrosine,0.032272899742418204,"['Alanine', 'Arginine', 'Lysine']"
Valine,0.5055159325491148,"['Alanine', 'Arginine', 'Lysine']"
a-Tocopherol,0.8424230902669563,"['Glutathione reduced', 'Vanillic acid']"
Glutathione reduced,0.21529552527795748,['a-Tocopherol']
Vanillic acid,-0.23375134914046902,"['a-Tocopherol', 'Glutathione reduced']"
Arachidic acid,-0.1444669257248321,['Linoleic acid']
Linoleic acid,0.07803288167423406,['Arachidic acid']
Linolenic acid,0.17637536910811646,['Arachidic acid']
Palmitic acid,0.1689619401901985,['Arachidic acid']
Pentadecanoic acid,-0.028913612291377344,['Arachidic acid']
Stearic acid,0.03153632976666276,['Arachidic acid']
Adenine,0.058190797252028914,"['Adenosine', 'AMP', 'Cytosine', 'Thymine']"
Adenosine,0.7394379326272619,"['Adenine', 'AMP', 'Cytosine', 'Thymine']"
AMP,-1.1115133102718624,"['Adenine', 'Cytosine', 'Thymine']"
Cytidine,0.5341025805458854,"['Adenine', 'AMP', 'Cytosine', 'Thymine']"
Cytosine,0.09594812977349176,"['Adenine', 'AMP', 'Thymine']"
Guanine,0.19376378195158805,"['Adenine', 'AMP', 'Cytosine', 'Thymine']"
Guanosine,0.7560961807970433,"['Adenine', 'AMP', 'Cytosine', 'Thymine']"
Inosine,0.8810748615635129,"['Adenine', 'AMP', 'Cytosine', 'Thymine']"
Thymine,-2.7764450040429374,"['Adenine', 'AMP', 'Cytosine']"
uracil,0.7505532667657462,"['Adenine', 'AMP', 'Cytosine', 'Thymine']"
Uridine,0.8997445055581097,"['Adenine', 'AMP', 'Cytosine', 'Thymine']"
Xanthine,0.5675755330679628,"['Adenine', 'AMP', 'Cytosine', 'Thymine']"
benzoic acid,-0.3313673555666645,"['Caffeic acid', 'Citric acid', 'lactic acid']"
Caffeic acid,-0.4647676033074175,"['benzoic acid', 'Citric acid', 'lactic acid']"
Citric acid,0.7668109016212938,"['benzoic acid', 'Caffeic acid', 'lactic acid', 'malic acid']"
lactic acid,-0.232624169007569,"['benzoic acid', 'Caffeic acid', 'Citric acid']"
